Desk,Commodity,Trader Name,Trader Email,Quantity
D-7814,Oats,Lora Welch,cadbugib@ewketuf.bs,"91,477"
D-3628,Corn,Clarence Houston,jetuula@cebto.bz,"20,443"
D-1252,Oats,Evan Bryant,tovsa@wal.it,"85,477"
D-5005,Robusta coffee,Ora Tate,ekemesu@alasejof.cc,"23,394"
D-7357,Soybeans,Sam Walker,jirajaz@uravi.cf,"42,590"
D-8752,Frozen Concentrated Orange Juice,Darrell Guzman,wo@onvibop.mg,"96,229"
D-429,Frozen Concentrated Orange Juice,Clifford Nash,fof@izhi.pa,"73,953"
D-3646,Sugar No.11,Grace Patrick,ma@relsut.tr,"23,958"
D-9456,Cotton No.2,Erik Howard,tafdijsec@uhekasiw.ir,"26,977"
D-2162,Oats,Jerome Weber,vaba@muoz.bn,"45,817"
