id,first_name,last_name,dob,contact_information_id
1,Wally,Barkley,1978-09-20,1
2,Brett,Haddeston,1994-04-08,2
3,Brittany,Froom,1973-08-04,3
4,Vida,Leyninye,1999-03-02,4
5,Michele,Dearth,1982-09-28,5
6,Merrile,Kelcher,1995-05-31,6
7,Minor,Pratchett,1983-11-27,7
8,Vaughan,Oldroyde,1995-04-25,8
9,Dniren,Basant,1970-08-09,9
10,Laurella,Jeafferson,1973-05-22,10
11,Lynsey,Klimt,1983-02-05,11
12,Marita,Kenny,1983-11-19,12
13,Charo,Chick,1991-11-28,13
14,George,Robelet,1984-06-01,14
15,Doralyn,Taffs,1987-01-28,15
16,Licha,MacKeller,1980-04-26,16
17,Jodie,Polak,1995-01-06,17
18,Renard,Bisiker,1980-09-16,18
19,Taryn,Mose,1983-03-07,19
20,Alma,Jodlkowski,1972-03-10,20
